CellType,Gene
CD8+TCF1+T,SERTAD1
CD8+TCF1+T,UBE2S
CD8+TCF1+T,ITM2C
CD8+TCF1+T,H2AFX
CD8+TCF1+T,GZMH
CD8+TCF1+T,DUSP2
CD8+TCF1+T,LDHA
CD8+TCF1+T,APOBEC3G
CD8+TCF1+T,HCST
CD8+TCF1+T,SCML4
CD8+TCF1+T,CCL4L2
CD8+TCF1+T,SLC7A5
CD8+TCF1+T,CD3G
CD8+TCF1+T,CITED2
CD8+TCF1+T,PARP8
CD8+TCF1+T,CXCR3
CD8+TCF1+T,NEU1
CD8+TCF1+T,TUBB4B
CD4+PD1+T,NMB
CD4+PD1+T,CD200
CD4+PD1+T,CD40LG
CD4+PD1+T,FKBP5
CD4+PD1+T,TNFRSF4
CD4+PD1+T,FAAH2
CD4+PD1+T,GEM
CD4+PD1+T,IGFBP4
CD4+PD1+T,TCF7
CD4+PD1+T,TNFRSF18
CD4+PD1+T,IL6ST
CD4+PD1+T,ZNRF1
CD4+PD1+T,TSHZ2
CD4+PD1+T,SH2D1A
CD4+PD1+T,TOX
CD4+PD1+T,MAF
CD4+PD1+T,PASK
CD4+PD1+T,TIGIT
CD4+PD1+T,CD4
CD4+PD1+T,PLIN2
CD4+PD1+T,GK
CD4+PD1+T,CORO1B
CD4+PD1+T,CTLA4
CD20+B,HLA-A
CD20+B,HLA-B
CD20+B,HLA-C
CD79a+Plasma,PECAM1
CD4+TCF1+T,CD4
CD4+TCF1+T,CD3E
CD4+TCF1+T,CD3D
CD4+TCF1+T,CD3G
CD4+TCF1+T,GATA3
CD4+PD1+T,CD3E
CD4+PD1+T,CD3D
CD4+PD1+T,CD3G
CD4+PD1+T,GATA3
CD4+PD1+T,TBX21
Treg,CD4
Treg,CD3E
Treg,CD3D
Treg,CD3G
Treg,GATA3
Treg,TBX21
Treg,IKZF2
CD8+TCF1+T,CD3D
CD8+TCF1+T,TCF7
CD8+TCF1+T,TBX21
CD8+TCF1+T,GATA3
CD8+TCF1+T,TOX
CD8+GZMB+T,CD8A
CD8+GZMB+T,CD8B
CD8+GZMB+T,CD3E
CD8+GZMB+T,CD3D
CD8+GZMB+T,CD3G
CD8+GZMB+T,TBX21
CD8+PD1+Tex,CD3G
CD8+PD1+Tex,TBX21
CD8+PD1+Tex,GATA3
CD8+PD1+Tex,TOX
CD56+NK,NCAM1
cDC,ITGAX
cDC,CD68
M2,CD163
M2,HLA-DRB5
